epoch,sac/log_pi,sac/policy_loss,sac/qf1_loss,sac/qf2_loss,sac/alpha_loss,sac/alpha,sac/average_qf1,sac/average_qf2,sac/average_target_q,sac/total_steps,sac/cql/cql_std_q1,sac/cql/cql_std_q2,sac/cql/cql_q1_rand,sac/cql/cql_q2_rand,sac/cql/cql_min_qf1_loss,sac/cql/cql_min_qf2_loss,sac/cql/cql_qf1_diff,sac/cql/cql_qf2_diff,sac/cql/cql_q1_current_actions,sac/cql/cql_q2_current_actions,sac/cql/cql_q1_next_actions,sac/cql/cql_q2_next_actions,sac/cql/alpha_prime_loss,sac/cql/alpha_prime,average_return,average_traj_length,train_time,eval_time,epoch_time
0,3.9013752937316895,12.060126304626465,5.62421989440918,6.524431228637695,-1.102959394454956,1.3267208337783813,-2.721573829650879,-2.662382125854492,-3.276754856109619,1000,10.557086944580078,10.263236999511719,-26.587570190429688,-25.93792152404785,-16.948394775390625,-16.953210830688477,-3.389678955078125,-3.3906421661376953,-6.397523880004883,-6.3442888259887695,-6.430227756500244,-6.385807991027832,0.0,0.0,77.135056,200.0,96.08771252632141,10.728560447692871,106.81627297401428
1,3.0266900062561035,39.18658447265625,20.293737411499023,18.380714416503906,-1.7737711668014526,1.7968645095825195,-22.692556381225586,-23.124942779541016,-24.307994842529297,2000,17.37731170654297,15.982810020446777,-65.61492156982422,-63.427162170410156,-38.89736557006836,-40.257789611816406,-7.779472827911377,-8.051557540893555,-32.7495231628418,-33.34234619140625,-32.972267150878906,-33.5713005065918,0.0,0.0,42.87572,200.0,91.71854567527771,11.199843645095825,102.91838932037354
2,2.5233376026153564,116.6754150390625,52.955413818359375,72.44474792480469,-2.118640899658203,2.315483570098877,-90.95689392089844,-94.0114974975586,-89.90249633789062,3000,30.56316566467285,26.02399444580078,-164.0841522216797,-157.2240753173828,-67.8897476196289,-62.41886901855469,-13.577949523925781,-12.483774185180664,-108.72856903076172,-110.1690902709961,-109.0347671508789,-110.60308074951172,0.0,0.0,51.431416,200.0,93.97919464111328,10.57097601890564,104.55017066001892
3,2.842515707015991,200.12118530273438,59.06377410888672,93.91200256347656,-3.1845240592956543,3.065831422805786,-167.34861755371094,-171.51170349121094,-167.82272338867188,4000,45.71812057495117,40.37872314453125,-268.9646301269531,-262.0009460449219,-67.4580078125,-60.76822280883789,-13.491601943969727,-12.153644561767578,-187.9249725341797,-189.71507263183594,-188.18922424316406,-189.80564880371094,0.0,0.0,56.761475,200.0,91.0226480960846,10.42540192604065,101.44805002212524
4,2.6771273612976074,306.3042907714844,157.0413818359375,165.48648071289062,-3.774777889251709,4.095998287200928,-266.73175048828125,-266.9000244140625,-272.4375,5000,66.98057556152344,59.998512268066406,-412.0763854980469,-400.12725830078125,-85.56338500976562,-80.90536499023438,-17.1126766204834,-16.181072235107422,-291.6174011230469,-290.2670593261719,-292.4171447753906,-291.43359375,0.0,0.0,43.631477,200.0,90.95946598052979,10.333679676055908,101.2931456565857
5,2.440295457839966,449.16033935546875,261.6632995605469,183.3785400390625,-4.145205974578857,5.46655797958374,-413.4208984375,-406.5703125,-407.146240234375,6000,68.43803405761719,60.798622131347656,-557.0093994140625,-537.5617065429688,-62.08183288574219,-54.22345733642578,-12.416366577148438,-10.844691276550293,-432.80889892578125,-426.1820373535156,-434.3453674316406,-427.7477722167969,0.0,0.0,49.524147,200.0,90.72365045547485,10.34923267364502,101.07288312911987
6,2.288295269012451,528.2513427734375,156.32838439941406,268.8378601074219,-4.55631685256958,7.323879241943359,-479.42138671875,-488.20111083984375,-484.7676086425781,7000,94.81983947753906,86.59248352050781,-674.2742309570312,-666.9535522460938,-55.72322082519531,-39.77642822265625,-11.144643783569336,-7.955286026000977,-501.1201171875,-505.8078308105469,-502.8448181152344,-507.5640563964844,0.0,0.0,70.51195,200.0,91.55560731887817,10.432525873184204,101.98813319206238
7,2.5601987838745117,648.100341796875,537.2090454101562,391.53704833984375,-5.816306114196777,9.697014808654785,-591.40625,-586.5316772460938,-598.40380859375,8000,96.40569305419922,87.67002868652344,-794.0557861328125,-773.1189575195312,-63.074378967285156,-54.36271667480469,-12.614875793457031,-10.872543334960938,-619.6949462890625,-611.5184936523438,-621.0453491210938,-613.1135864257812,0.0,0.0,60.55117,200.0,91.33223009109497,10.629625797271729,101.9618558883667
8,1.4665416479110718,747.4453125,562.1092529296875,716.818359375,-3.716247320175171,12.604084968566895,-703.7826538085938,-706.8819580078125,-707.6199340820312,9000,116.2887191772461,105.16507720947266,-926.609375,-912.3685913085938,27.202857971191406,36.26411819458008,5.4405717849731445,7.252823829650879,-717.7057495117188,-718.9326171875,-720.0361328125,-721.8155517578125,0.0,0.0,60.9901,200.0,91.34868240356445,10.735497951507568,102.08418035507202
9,1.0925970077514648,811.3649291992188,1100.5050048828125,703.9153442382812,-3.0250258445739746,15.937203407287598,-772.2005615234375,-766.8517456054688,-773.709228515625,10000,102.73307800292969,89.27891540527344,-971.8280639648438,-942.3988647460938,34.829139709472656,37.1864013671875,6.965827941894531,7.437280654907227,-788.5785522460938,-781.7388916015625,-792.4677734375,-785.5726928710938,0.0,0.0,60.858315,200.0,90.07788968086243,10.79802393913269,100.87591361999512
