epoch,average_return
0,11.489653295238158
1,42.91661657364668
2,43.67051736792849
3,19.887319837095877
4,17.9538558856092
5,71.38385531981393
6,81.03506588636661
7,75.92141386858886
8,48.741506200083194
9,76.7578258011711
10,76.2931373141453
11,79.59284400693407
12,68.6348614421676
13,53.96516066296225
14,82.09171813173361
15,27.078527378651337
16,15.036035303210024
17,60.99144825872304
18,72.69619200799514
19,82.26399086714608
20,38.912232365627084
21,79.30973363206472
22,71.93119783321484
23,75.54254051526456
24,81.07907435629997
25,73.03180134227412
26,88.04783001736796
27,76.70035683367713
28,84.27616943850751
29,93.37547727238076
30,78.38771569426264
31,93.47576336552744
32,97.88840358140897
33,97.26757745769052
34,91.23195578833858
35,90.50440524481488
36,56.430257413008896
37,56.53413832401567
38,74.92655060417053
39,95.76634146018293
40,76.03905967191986
41,93.17074019901314
42,97.17317723974666
43,89.48030621563883
44,98.41368098259663
45,91.39955387534273
46,79.5272148306027
47,87.32105826090557
48,85.11606594207662
49,86.79486201662036
50,97.93659342525966
