epoch,average_return
0,12.034685440958281
1,55.52328498249532
2,22.129534892301635
3,25.800624890957703
4,26.30455254277811
5,79.71628256345981
6,36.25010244613416
7,93.98907914852097
8,97.09090898129247
9,80.75864339167263
10,99.06425508375158
11,96.45686560024242
12,95.70456599932444
13,92.37740443425977
14,91.09055523806067
15,82.55620575638443
16,51.312893545532596
17,94.43082954873981
18,89.22329908524755
19,75.40287973032969
20,96.36445643146594
21,95.81914602604948
22,92.2445867631147
23,92.41185416157224
24,95.33264568661602
25,93.02500539809706
26,56.90099805761658
27,83.31380381790964
28,95.37884711745247
29,105.1938359975878
30,92.81020231780406
31,94.22130597209593
32,87.55185547108978
33,95.15459164671914
34,94.36459966943526
35,94.53513511204244
36,95.6025105877007
37,92.50335532102514
38,96.89714645272952
39,92.82094808247058
40,94.08600469249929
41,95.01496476651432
42,96.8285633651905
43,85.51117360578884
44,95.85027136647463
45,100.56143562863005
46,93.49907154280118
47,98.14651450309472
48,93.59344654680365
49,95.07617224888637
50,98.56844952031841
